ida_key,ida_visible_work_count,ida_visible_sanction_total,ida_median_sanction_amount,ida_median_sanction_delay_days,ida_delay_over45_share,ida_early_stage_over180_share,ida_completed_share,ida_high_cost_outlier_share,ida_duplicate_review_share,ida_average_review_priority_score,ida_max_review_priority_score,ida_latest_sanction_date,ida_distinct_work_type_count,ida_work_type_hhi,ida_review_priority_score,ida_review_priority_band,state,ida_district,ida_authority,ida_visible_mp_count
chhattisgarh|manendragarhchirmiribharatpurmcbcollectormcbida,3,1000000.0,300000.0,59.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2024-12-03,1,1.0,6.0,Routine,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,M C B)(Collector MCB,1
chhattisgarh|mohlamanpurambagarhchoukicollectormmcida,1,2499475.0,2499475.0,98.0,1.0,0.0,0.0,1.0,0.0,31.0,31,2025-01-03,1,1.0,31.0,Low,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Collector MMC,1
chhattisgarh|mungelicollectormungeliida,11,7783857.0,499560.0,21.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,3.6363636363636362,40,2024-12-27,5,0.22314049586776857,14.55,Routine,Chhattisgarh,MUNGELI,Collector Mungeli,1
chhattisgarh|narayanpurcollectornarayanpurida,2,1186000.0,593000.0,169.0,1.0,0.5,0.0,0.0,0.0,13.5,21,2025-03-24,2,0.5,15.75,Routine,Chhattisgarh,NARAYANPUR,Collector Narayanpur,1
chhattisgarh|raigarhdistrictcollectorraigarhida,32,19516713.0,500000.0,175.0,1.0,0.0,0.03125,0.09375,0.59375,19.65625,53,2026-01-19,10,0.345703125,29.66,Low,Chhattisgarh,RAIGARH,DISTRICT COLLECTOR RAIGARH,1
chhattisgarh|raipurdistrictcollectorraipurida,34,21753844.0,500000.0,63.0,0.8823529411764706,0.23529411764705882,0.0,0.08823529411764706,0.0,12.794117647058824,31,2026-02-03,8,0.18685121107266436,18.26,Routine,Chhattisgarh,RAIPUR,DISTRICT COLLECTOR RAIPUR,1
chhattisgarh|rajnandgaondistrictcollectorrajnandgaonida,3,1399900.0,300000.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-12-04,3,0.3333333333333333,0.0,Routine,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON,1
chhattisgarh|sakticollectorsaktiida,40,32118740.0,800000.0,28.0,0.225,0.025,0.0,0.025,0.0,2.6,31,2026-02-05,7,0.6475,11.12,Routine,Chhattisgarh,SAKTI,COLLECTOR SAKTI,1
chhattisgarh|sarangarhbilaigarhcollectorsbida,24,15867395.0,549898.0,43.0,0.08333333333333333,0.0,0.0,0.0,0.8333333333333334,13.416666666666666,25,2024-12-24,4,0.32291666666666663,16.89,Routine,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,2
chhattisgarh|sukmacollectorsukmaida,7,3842910.0,500000.0,84.0,1.0,0.42857142857142855,0.0,0.0,0.0,12.428571428571429,21,2024-12-30,5,0.22448979591836732,15.0,Routine,Chhattisgarh,SUKMA,Collector Sukma,1
chhattisgarh|surgujacollectorsurgujaida,5,4997500.0,999500.0,84.0,1.0,0.0,0.0,0.0,0.6,8.4,10,2024-11-25,1,1.0,8.88,Routine,Chhattisgarh,SURGUJA,Collector Surguja,1
delhi|centralcommissionermcdcentraldistrict,1,321397.0,321397.0,52.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2025-01-07,1,1.0,6.0,Routine,Delhi,CENTRAL,COMMISSIONER MCD (CENTRAL DISTRICT),1
delhi|eastcommissionereast,8,6331847.0,761500.0,60.0,1.0,0.0,0.0,0.25,0.25,17.75,53,2025-08-08,2,0.625,28.32,Low,Delhi,EAST,COMMISSIONER EAST,2
delhi|southcommissionersouth,1,441685.0,441685.0,125.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2025-03-21,1,1.0,6.0,Routine,Delhi,SOUTH,COMMISSIONER SOUTH,1
delhi|southeastcommissionermcdsoutheastida,1,1997268.0,1997268.0,136.0,1.0,0.0,0.0,1.0,0.0,31.0,31,2025-04-03,1,1.0,31.0,Low,Delhi,South East,COMMISSIONER MCD SOUTH EAST,1
goa|northgoadistrictcollectornorthgoaida,8,3410000.0,130000.0,371.0,1.0,0.0,0.0,0.0,0.0,16.0,16,2026-01-16,2,0.78125,16.0,Routine,Goa,NORTH GOA,DISTRICT COLLECTOR NORTH GOA,1
gujarat|ahmedabaddistrictcollectorahmadabadida,3,2449505.0,999505.0,206.0,1.0,0.3333333333333333,0.0,0.0,0.0,20.333333333333332,31,2025-09-03,2,0.5555555555555556,23.53,Low,Gujarat,Ahmedabad,DISTRICT COLLECTOR AHMADABAD,2
gujarat|amrelidistrictcollectoramreliida,49,15975412.0,300000.0,128.0,1.0,0.20408163265306123,0.0,0.0,0.0,12.326530612244898,31,2026-01-31,9,0.6401499375260308,17.93,Routine,Gujarat,AMRELI,DISTRICT COLLECTOR AMRELI,1
